id,coursename,instructor,room,from_time,to_time,type,day,date,subgroup_name,group_name
62,Theoretical sports -Mental Health,Eleonora Ilina,"108 (ONLY ON 21/06,28/06)",10:40,12:10,lec,Wednesday,2023-09-06,B22-DSAI-02,BS - Year 1
63,Elective courses on Physical Education,,,09:00,10:30,Sports,Thursday,2023-09-07,B22-DSAI-02,BS - Year 1
64,Theoretical sports -Mental Health,Eleonora Ilina,108 (ONLY ON 22/06),10:40,12:10,lec,Thursday,2023-09-07,B22-DSAI-02,BS - Year 1
65,Software Project,Nursultan Askarbekuly,108,09:00,10:30,lec,Monday,2023-09-11,B22-DSAI-03,BS - Year 1
66,Software Project,Nursultan Askarbekuly,108,10:40,12:10,tut,Monday,2023-09-11,B22-DSAI-03,BS - Year 1
67,Software Project,Alexey Potyomkin,303,16:00,17:30,lab,Monday,2023-09-11,B22-DSAI-03,BS - Year 1
68,Theoretical sports -Mental Health,Eleonora Ilina,"108 (ONLY ON 20/06,27/06)",10:40,12:10,lec,Tuesday,2023-09-12,B22-DSAI-03,BS - Year 1
69,Elective courses on Physical Education,,,09:00,10:30,Sports,Wednesday,2023-09-13,B22-DSAI-03,BS - Year 1
70,Theoretical sports -Mental Health,Eleonora Ilina,"108 (ONLY ON 21/06,28/06)",10:40,12:10,lec,Wednesday,2023-09-13,B22-DSAI-03,BS - Year 1
71,Elective courses on Physical Education,,,09:00,10:30,Sports,Thursday,2023-09-14,B22-DSAI-03,BS - Year 1
72,Theoretical sports -Mental Health,Eleonora Ilina,108 (ONLY ON 22/06),10:40,12:10,lec,Thursday,2023-09-14,B22-DSAI-03,BS - Year 1
73,Software Project,Nursultan Askarbekuly,108,09:00,10:30,lec,Monday,2023-09-18,B22-DSAI-04,BS - Year 1
74,Software Project,Nursultan Askarbekuly,108,10:40,12:10,tut,Monday,2023-09-18,B22-DSAI-04,BS - Year 1
75,Software Project,Marko Pezer,321,16:00,17:30,lab,Monday,2023-09-18,B22-DSAI-04,BS - Year 1
76,Theoretical sports -Mental Health,Eleonora Ilina,"108 (ONLY ON 20/06,27/06)",10:40,12:10,lec,Tuesday,2023-09-19,B22-DSAI-04,BS - Year 1
77,Elective courses on Physical Education,,,09:00,10:30,Sports,Wednesday,2023-09-20,B22-DSAI-04,BS - Year 1
78,Theoretical sports -Mental Health,Eleonora Ilina,"108 (ONLY ON 21/06,28/06)",10:40,12:10,lec,Wednesday,2023-09-20,B22-DSAI-04,BS - Year 1
